team_code,artifact,drive_file_id
M50,team_photo,
M50,robot_photo,
M50,poster,
M50,video,
M50,video_thumbnail,
M50,bom,
M50,source_code,
M51,team_photo,
M51,robot_photo,
M51,poster,
M51,video,
M51,video_thumbnail,
M51,bom,
M52,team_photo,
M52,robot_photo,
M52,poster,
M52,video,
M52,video_thumbnail,
M52,bom,
M52,tdp_pdf_optional,
M53,team_photo,
M53,robot_photo,
M53,poster,
M53,video,
M53,video_thumbnail,
M53,bom,
M53,source_code,
M53,engineering_journal_optional,
M55,team_photo,
M55,robot_photo,
M55,poster,
M55,video,
M55,video_thumbnail,
M55,bom,
M55,source_code,
M55,tdp_pdf_optional,
M56,team_photo,
M56,robot_photo,
M56,poster,
M56,video,
M56,video_thumbnail,
M56,bom,
M56,source_code,
M56,tdp_pdf_optional,
M57,team_photo,
M57,robot_photo,
M57,poster,
M57,video,
M57,video_thumbnail,
M57,bom,
M57,source_code,
M57,tdp_pdf_optional,
M58,team_photo,
M58,robot_photo,
M58,poster,
M58,video,
M58,video_thumbnail,
M58,bom,
M58,tdp_pdf_optional,
M59,team_photo,
M59,robot_photo,
M59,poster,
M59,video,
M59,video_thumbnail,
M59,bom,
M59,tdp_pdf_optional,
M60,team_photo,
M60,robot_photo,
M60,poster,
M60,video,
M60,video_thumbnail,
M60,tdp_pdf_optional,
M61,team_photo,
M61,robot_photo,
M61,poster,
M61,video,
M61,video_thumbnail,
M61,bom,
M62,team_photo,
M62,robot_photo,
M62,poster,
M62,video,
M62,video_thumbnail,
M62,bom,
M62,source_code,
M62,tdp_pdf_optional,
M62,engineering_journal_optional,
M63,team_photo,
M63,robot_photo,
M63,poster,
M63,video,
M63,video_thumbnail,
M63,bom,
M64,team_photo,
M64,robot_photo,
M64,poster,
M64,video,
M64,video_thumbnail,
M64,bom,
M64,source_code,
M64,tdp_pdf_optional,
M64,engineering_journal_optional,
M65,team_photo,
M65,robot_photo,
M65,poster,
M65,video,
M65,video_thumbnail,
M65,tdp_pdf_optional,
M66,team_photo,
M66,robot_photo,
M66,poster,
M66,video,
M66,video_thumbnail,
M66,bom,
M66,source_code,
M67,team_photo,
M67,robot_photo,
M67,poster,
M67,video,
M67,video_thumbnail,
M67,bom,
M67,source_code,
M67,tdp_pdf_optional,
M68,team_photo,
M68,robot_photo,
M68,poster,
M68,video,
M68,video_thumbnail,
M68,bom,
M68,source_code,
M68,tdp_pdf_optional,
M69,team_photo,
M69,robot_photo,
M69,poster,
M69,video,
M69,video_thumbnail,
M69,bom,
M69,source_code,
M70,team_photo,
M70,robot_photo,
M70,poster,
M70,video,
M70,video_thumbnail,
M70,bom,
M70,source_code,
M70,tdp_pdf_optional,
M70,engineering_journal_optional,
M71,team_photo,
M71,robot_photo,
M71,poster,
M71,video,
M71,video_thumbnail,
M71,bom,
M71,source_code,
S81,team_photo,
S81,poster,
S81,video,
S81,video_thumbnail,
S81,launching_video,
S81,launching_video_thumbnail,
S81,bom,
S81,source_code,
S81,tdp_pdf_optional,
S82,team_photo,
S82,poster,
S82,video,
S82,video_thumbnail,
S82,launching_video,
S82,launching_video_thumbnail,
S82,bom,
S82,source_code,
S82,tdp_pdf_optional,
S83,team_photo,
S83,poster,
S83,video,
S83,video_thumbnail,
S83,launching_video,
S83,launching_video_thumbnail,
S83,bom,
S83,source_code,
S83,tdp_pdf_optional,
S84,team_photo,
S84,poster,
S84,video,
S84,video_thumbnail,
S84,launching_video,
S84,launching_video_thumbnail,
S84,bom,
S84,source_code,
S84,tdp_pdf_optional,
S85,team_photo,
S85,poster,
S85,video,
S85,video_thumbnail,
S85,launching_video,
S85,launching_video_thumbnail,
S85,bom,
S86,team_photo,
S86,poster,
S86,video,
S86,video_thumbnail,
S86,launching_video,
S86,launching_video_thumbnail,
S86,bom,
S86,source_code,
S87,team_photo,
S87,poster,
S87,video,
S87,video_thumbnail,
S87,launching_video,
S87,launching_video_thumbnail,
S87,bom,
S87,source_code,
S88,team_photo,
S88,poster,
S88,video,
S88,video_thumbnail,
S88,bom,
S88,source_code,
S89,team_photo,
S89,poster,
S89,video,
S89,video_thumbnail,
S89,launching_video,
S89,launching_video_thumbnail,
S89,bom,
S89,source_code,
S90,team_photo,
S90,poster,
S90,video,
S90,video_thumbnail,
S90,launching_video,
S90,launching_video_thumbnail,
S90,bom,
S91,team_photo,
S91,poster,
S91,video,
S91,video_thumbnail,
S91,launching_video,
S91,launching_video_thumbnail,
S91,bom,
S91,source_code,
S91,tdp_pdf_optional,
S91,engineering_journal_optional,
S92,team_photo,
S92,poster,
S92,video,
S92,video_thumbnail,
S92,launching_video,
S92,launching_video_thumbnail,
S92,bom,
S92,source_code,
S92,tdp_pdf_optional,
S93,team_photo,
S93,poster,
S93,video,
S93,video_thumbnail,
S93,launching_video,
S93,launching_video_thumbnail,
S93,bom,
S93,source_code,
