team_code,artifact,drive_file_id
L24,engineering_journal_optional,
L25,poster,
L25,video,
L25,video_thumbnail,
L25,bom,
L25,source_code,
L25,tdp_pdf_optional,
L25,engineering_journal_optional,
L26,poster,
L26,video,
L26,video_thumbnail,
L26,bom,
L26,source_code,
L26,tdp_pdf_optional,
L26,engineering_journal_optional,
L27,poster,
L27,video,
L27,video_thumbnail,
L27,bom,
L27,source_code,
L27,tdp_pdf_optional,
L27,engineering_journal_optional,
M41,poster,
M41,video,
M41,video_thumbnail,
M41,bom,
M41,source_code,
M41,tdp_pdf_optional,
M41,engineering_journal_optional,
M42,poster,
M42,video,
M42,video_thumbnail,
M42,bom,
M42,source_code,
M42,tdp_pdf_optional,
M42,engineering_journal_optional,
M43,poster,
M43,video,
M43,video_thumbnail,
M43,bom,
M43,source_code,
M43,tdp_pdf_optional,
M43,engineering_journal_optional,
M44,poster,
M44,video,
M44,video_thumbnail,
M44,bom,
M44,source_code,
M44,tdp_pdf_optional,
M44,engineering_journal_optional,
M45,poster,
M45,video,
M45,bom,
M45,source_code,
M45,tdp_pdf_optional,
M45,engineering_journal_optional,
M46,poster,
M46,video,
M46,video_thumbnail,
M46,bom,
M46,source_code,
M46,tdp_pdf_optional,
M46,engineering_journal_optional,
M47,poster,
M47,video,
M47,bom,
M47,source_code,
M47,tdp_pdf_optional,
M47,engineering_journal_optional,
M48,poster,
M48,video,
M48,video_thumbnail,
M48,bom,
M48,source_code,
M48,tdp_pdf_optional,
M48,engineering_journal_optional,
M49,poster,
M49,video,
M49,video_thumbnail,
M49,bom,
M49,source_code,
M49,tdp_pdf_optional,
M49,engineering_journal_optional,
M50,poster,
M50,video,
M50,video_thumbnail,
M50,bom,
M50,source_code,
M50,tdp_pdf_optional,
M50,engineering_journal_optional,
M51,poster,
M51,video,
M51,video_thumbnail,
M51,bom,
M51,source_code,
M51,tdp_pdf_optional,
M51,engineering_journal_optional,
M52,poster,
M52,video,
M52,video_thumbnail,
M52,bom,
M52,source_code,
M52,tdp_pdf_optional,
M52,engineering_journal_optional,
M53,poster,
M53,video,
M53,video_thumbnail,
M53,bom,
M53,source_code,
M53,tdp_pdf_optional,
M53,engineering_journal_optional,
M54,poster,
M54,video,
M54,bom,
M54,source_code,
M54,tdp_pdf_optional,
M54,engineering_journal_optional,
M55,poster,
M55,video,
M55,video_thumbnail,
M55,bom,
M55,source_code,
M55,tdp_pdf_optional,
M55,engineering_journal_optional,
M56,poster,
M56,video,
M56,video_thumbnail,
M56,bom,
M56,source_code,
M56,tdp_pdf_optional,
M56,engineering_journal_optional,
M57,poster,
M57,video,
M57,video_thumbnail,
M57,bom,
M57,source_code,
M57,tdp_pdf_optional,
M57,engineering_journal_optional,
M58,poster,
M58,video,
M58,video_thumbnail,
M58,bom,
M58,source_code,
M58,tdp_pdf_optional,
M58,engineering_journal_optional,
M59,poster,
M59,video,
M59,video_thumbnail,
M59,bom,
M59,source_code,
M59,tdp_pdf_optional,
M59,engineering_journal_optional,
M60,poster,
M60,video,
M60,video_thumbnail,
M60,bom,
M60,source_code,
M60,tdp_pdf_optional,
M60,engineering_journal_optional,
M61,poster,
M61,video,
M61,video_thumbnail,
M61,bom,
M61,source_code,
M61,tdp_pdf_optional,
M61,engineering_journal_optional,
M62,poster,
M62,video,
M62,video_thumbnail,
M62,bom,
M62,source_code,
M62,tdp_pdf_optional,
M62,engineering_journal_optional,
M63,poster,
M63,video,
M63,video_thumbnail,
M63,bom,
M63,source_code,
M63,tdp_pdf_optional,
M63,engineering_journal_optional,
M64,poster,
M64,video,
M64,video_thumbnail,
M64,bom,
M64,source_code,
M64,tdp_pdf_optional,
M64,engineering_journal_optional,
M65,poster,
M65,video,
M65,video_thumbnail,
M65,bom,
M65,source_code,
M65,tdp_pdf_optional,
M65,engineering_journal_optional,
M66,poster,
M66,video,
M66,video_thumbnail,
M66,bom,
M66,source_code,
M66,tdp_pdf_optional,
M66,engineering_journal_optional,
M67,poster,
M67,video,
M67,video_thumbnail,
M67,bom,
M67,source_code,
M67,tdp_pdf_optional,
M67,engineering_journal_optional,
M68,poster,
M68,video,
M68,video_thumbnail,
M68,bom,
M68,source_code,
M68,tdp_pdf_optional,
M68,engineering_journal_optional,
M69,poster,
M69,video,
M69,video_thumbnail,
M69,bom,
M69,source_code,
M69,tdp_pdf_optional,
M69,engineering_journal_optional,
M70,poster,
M70,video,
M70,video_thumbnail,
M70,bom,
M70,source_code,
M70,tdp_pdf_optional,
M70,engineering_journal_optional,
M71,poster,
M71,video,
M71,video_thumbnail,
M71,bom,
M71,source_code,
M71,tdp_pdf_optional,
M71,engineering_journal_optional,
S81,poster,
S81,video,
S81,video_thumbnail,
S81,launching_video,
S81,launching_video_thumbnail,
S81,bom,
S81,source_code,
S81,tdp_pdf_optional,
S81,engineering_journal_optional,
S82,poster,
S82,video,
S82,video_thumbnail,
S82,launching_video,
S82,launching_video_thumbnail,
S82,bom,
S82,source_code,
S82,tdp_pdf_optional,
S82,engineering_journal_optional,
S83,poster,
S83,video,
S83,video_thumbnail,
S83,launching_video,
S83,launching_video_thumbnail,
S83,bom,
S83,source_code,
S83,tdp_pdf_optional,
S83,engineering_journal_optional,
S84,poster,
S84,video,
S84,video_thumbnail,
S84,launching_video,
S84,launching_video_thumbnail,
S84,bom,
S84,source_code,
S84,tdp_pdf_optional,
S84,engineering_journal_optional,
S85,poster,
S85,video,
S85,video_thumbnail,
S85,launching_video,
S85,launching_video_thumbnail,
S85,bom,
S85,source_code,
S85,tdp_pdf_optional,
S85,engineering_journal_optional,
S86,poster,
S86,video,
S86,video_thumbnail,
S86,launching_video,
S86,launching_video_thumbnail,
S86,bom,
S86,source_code,
S86,tdp_pdf_optional,
S86,engineering_journal_optional,
S87,poster,
S87,video,
S87,video_thumbnail,
S87,launching_video,
S87,launching_video_thumbnail,
S87,bom,
S87,source_code,
S87,tdp_pdf_optional,
S87,engineering_journal_optional,
S88,poster,
S88,video,
S88,video_thumbnail,
S88,launching_video,
S88,bom,
S88,source_code,
S88,tdp_pdf_optional,
S88,engineering_journal_optional,
S89,poster,
S89,video,
S89,video_thumbnail,
S89,launching_video,
S89,launching_video_thumbnail,
S89,bom,
S89,source_code,
S89,tdp_pdf_optional,
S89,engineering_journal_optional,
S90,poster,
S90,video,
S90,video_thumbnail,
S90,launching_video,
S90,launching_video_thumbnail,
S90,bom,
S90,source_code,
S90,tdp_pdf_optional,
S90,engineering_journal_optional,
S91,poster,
S91,video,
S91,video_thumbnail,
S91,launching_video,
S91,launching_video_thumbnail,
S91,bom,
S91,source_code,
S91,tdp_pdf_optional,
S91,engineering_journal_optional,
S92,poster,
S92,video,
S92,video_thumbnail,
S92,launching_video,
S92,launching_video_thumbnail,
S92,bom,
S92,source_code,
S92,tdp_pdf_optional,
S92,engineering_journal_optional,
S93,poster,
S93,video,
S93,video_thumbnail,
S93,launching_video,
S93,launching_video_thumbnail,
S93,bom,
S93,source_code,
S93,tdp_pdf_optional,
S93,engineering_journal_optional,
